item_id	type	working_title	current_source	version_status	final_format	gate
Fig1	main	Cohort design and pan-cancer atlas overview	TBD	needs_version_consistent_build	editable_vector_pdf	study_flow_denominators_and_final_identity_version
Fig2	main	Conservative identity and uncertainty architecture	annotation_v7_20260905	V7_frozen	editable_vector_pdf	panel_source_tables
Fig3	main	Sample-resolved malignant evidence	annotation_v7_20260905	V7_frozen	editable_vector_pdf	copykat_genome_parameter_review
Fig4	main	Cross-cancer cellular programmes	communication_evidence_chain_20260906	V5_derived_not_final	editable_vector_pdf	rerun_or_explicit_scope_decision
Fig5	main	Spatial and clinical validation	communication_evidence_chain_20260906	V5_derived_not_final	editable_vector_pdf	endpoint_and_panel_source_audit
ED1	extended_data	Dataset and sample inclusion flow	TBD	planned	jpeg_or_tiff_final	resolve_gse278694_and_universe
ED2	extended_data	Integration benchmarks and batch mixing	unified_pancancer_covarnet	completed_with_audit_warnings	jpeg_or_tiff_final	exact_subset_and_metrics
ED3	extended_data	V7 annotation confidence and boundary states	annotation_v7_20260905	V7_frozen	jpeg_or_tiff_final	plot_source_tables
ED4	extended_data	Per-sample CNV completion and skip reasons	annotation_v7_20260905	V7_frozen	jpeg_or_tiff_final	copykat_parameter_review
ED5	extended_data	V8 lineage taxonomy development evidence	V8_lineage_freezes	lineage_only	jpeg_or_tiff_final	heldout_benchmark_and_scope_wording
ED6	extended_data	Communication evidence matrix	communication_evidence_chain_20260906	V5_derived_snapshot	jpeg_or_tiff_final	rerun_or_explicit_scope_decision
