run_id	scope	run_type	stage	status	start_time	end_time	code_commit	environment	record	evidence
20260725_120105_unified_pancancer_covarnet	Project_v3	production	phase06_phase09	completed_with_audit_warnings	2026-07-25T12:01:00+08:00	2026-07-30T11:18:02+08:00	not_recorded	scanpy_1.11.5;anndata_0.11.4;scvi_python_3.11.14;R_4.3.3	runs/20260725_120105_unified_pancancer_covarnet.md	${RUN_ROOT}/08_annotation/20260729_bbknn_full_evidence_v2/FINAL_DELIVERY_AUDIT.json
immunotherapy_4cohort_20260803_v1	Project_v2	production_multi_stage	phase00_phase06	blocked_final_acceptance_policy_conflict	2026-08-03T00:00:00+08:00		not_recorded	cell2location_0.1.5;scvi_1.3.3;torch_2.6.0_CPU	runs/20260803_immunotherapy_4cohort_analysis.md	${IMMUNOTHERAPY_RUN_ROOT}/outputs/spatial/cell2location/final/GSE273952_cell2location_merge_audit.json
20260731_copykat_infercnv_intersection_v1	Project_v3	production_retry	stage00_stage08	blocked_stage01_group_quota_after_sample_580	2026-07-31T18:06:05+08:00		not_recorded	scanpy;scrna_r	runs/20260731_malignancy_communication.md	${CM_RUN_ROOT}/logs/recovery/20260812_124600_cm_stage01_from_0462.log
20260806_025419_slurm_retry_v3	Project_v3	download_retry	141_task_recovery	complete_with_failures	2026-08-06T02:54:33+08:00	2026-08-09T07:12:00+08:00	not_recorded	scanpy_python	runs/20260805_external_geo_download.md	${DOWNLOAD_RUN_ROOT}/reports/retry_summary_20260806_025419_slurm_retry_v3.json
20260905_v7_cnv_rerun_freeze_v1	Project_v3	production_freeze	annotation_cnv_v7	frozen_project_reference	2026-09-05T00:00:00+08:00	2026-09-05T23:59:59+08:00	not_recorded	scanpy;infercnvpy;Copykat_python_1.0.0	runs/20260905_v7_cnv_rerun_freeze.md	releases/annotation_v7_20260905/VERSION.json
20260912_v8_full_metadata_candidate_v7_rerun2	Project_v3	full_metadata_software_candidate	v8_metadata_candidate	not_frozen_passed_software_contract	2026-09-11T16:35:55.947777+00:00	2026-09-11T18:16:03.047490+00:00	not_recorded	python_3.10.19;pandas_2.3.3;numpy_1.26.4	runs/20260912_v8_full_metadata_candidate_v7_rerun2.md	${PROJECT_ROOT}/Project_v3/runs/20260912_v8_full_metadata_candidate_v7_rerun2/run_summary_v7.json
20260906_communication_evidence_chain	Project_v5	manuscript_snapshot	communication_spatial_clinical	completed_snapshot	2026-09-06T09:38:00+08:00	2026-09-06T10:18:00+08:00	not_recorded	python;R	runs/20260906_communication_evidence_chain.md	releases/communication_evidence_chain_20260906/tables/EVIDENCE_MATRIX.tsv
20260912_v8_myeloid_dc_review_pilot	Project_v3	review_only_pilot	myeloid_dc_v1_v3_cross_gse	pass_review_only_cross_gse_recurrence	2026-09-12T00:00:00+08:00	2026-09-12T23:59:59+08:00	not_recorded	scanpy;python_3.10	runs/20260912_v8_myeloid_dc_review_pilot.md	${PROJECT_ROOT}/Project_v3/v8_upgrade/pilots/unresolved_myeloid_dc_cross_gse_20260912/reports/cross_gse_validation.json
20260913_084700_mydc_full_v1	Project_v3	full_cohort_review_only	myeloid_dc_identity_state_review	complete_review_only_with_skips	2026-09-13T08:46:54+08:00	2026-09-13T11:48:34+08:00	not_recorded	scanpy;python_3.10;threads_8;worker_1	runs/20260913_v8_mydc_fullscale_review.md	${PROJECT_ROOT}/Project_v3/v8_upgrade/fullscale/myeloid_dc_20260913/runs/20260913_084700_mydc_full_v1/reports/run_summary.json
20260913_gse274229_target_v1	Project_v3	biological_validation	myeloid_dc_third_gse_classifier	frozen_v8_myeloid_taxonomy	2026-09-13T11:06:54+08:00	2026-09-13T13:27:21+08:00	not_recorded	scanpy_python_3.10;R_4.3.3;scATOMIC_2.0.3	runs/20260913_v8_myeloid_dc_third_gse_validation.md	${PROJECT_ROOT}/Project_v3/v8_upgrade/biological_freeze_sprint/myeloid_dc_20260913/FROZEN_V8_MYELOID_TAXONOMY
20260913_tnk_3gse_v3	Project_v3	biological_validation	tnk_identity_state	frozen_v8_tnk_taxonomy	2026-09-13T16:28:58.932058+08:00	2026-09-13T16:29:50.661821+08:00	not_recorded	scanpy_python_3.10;scATOMIC_2.0.3	runs/20260913_v8_tnk_biological_refinement.md	${PROJECT_ROOT}/Project_v3/v8_upgrade/biological_freeze_sprint/tnk_20260913/FROZEN_V8_TNK_TAXONOMY
